pygmn_name;pygmn_css;pygmn_desc;tm_scope
Whitespace;w;for whitespace;
Escape;esc;;
Error;err;represents lexer errors;invalid
Other;x;special token for data not matched by a parser (e.g. HTML markup in PHP code);
High-lighted Line;hll;;
Keyword;k;For any kind of keyword (especially if it doesn’t match any of the subtypes of course).;keyword.control 
Keyword.Constant;kc;For keywords that are constants (e.g. None in future Python versions).;constant.language
Keyword.Declaration;kd;For keywords used for variable declaration (e.g. var in some programming languages like JavaScript).;storage.type 
Keyword.Namespace;kn;For keywords used for namespace declarations (e.g. import in Python and Java and package in Java).;keyword.control.import
Keyword.Pseudo;kp;For keywords that aren’t really keywords (e.g. None in old Python versions).;variable.language 
Keyword.Reserved;kr;For reserved keywords.;
Keyword.Type;kt;For builtin types that can’t be used as identifiers (e.g. int, char etc. in C).;storage.type 
Name;n;For any name (variable names, function names, classes).;
Name.Attribute;na;For all attributes (e.g. in HTML tags).;entity.other.attribute-name
Name.Builtin;nb;"Builtin names; names that are available in the global namespace.";support
Name.Builtin.Pseudo;bp;Builtin names that are implicit (e.g. self in Ruby, this in Java).;support
Name.Class;nc;Class names. Because no lexer can know if a name is a class or a function or something else this token is meant for class declarations.;entity.name
Name.Constant;no;Token type for constants. In some languages you can recognise a token by the way it’s defined (the value after a const keyword for example). In other languages constants are uppercase by definition (Ruby).;constant.other
Name.Decorator;nd;Token type for decorators. Decorators are syntactic elements in the Python language. Similar syntax elements exist in C# and Java.;entity.name
Name.Entity;ni;"Token type for special entities. (e.g. &nbsp; in HTML).";entity.name
Name.Exception;ne;Token type for exception names (e.g. RuntimeError in Python). Some languages define exceptions in the function signature (Java). You can highlight the name of that exception using this token then.;invalid
Name.Function;nf;Token type for function names.;entity.name
Name.Function.Magic;fm;same as Name.Function but for special function names that have an implicit use in a language (e.g. __init__ method in Python).;support.constant 
Name.Property;py;Additional token type occasionally used for class attributes.;entity.name
Name.Label;nl;Token type for label names (e.g. in languages that support goto).;support.type
Name.Namespace;nn;Token type for namespaces. (e.g. import paths in Java/Python), names following the module/namespace keyword in other languages.;entity.name.type
Name.Other;nx;Other names. Normally unused.;
Name.Tag;nt;Tag names (in HTML/XML markup or configuration files).;entity.name.tag
Name.Variable;nv;Token type for variables. Some languages have prefixes for variable names (PHP, Ruby, Perl). You can highlight them using this token.;variable.other
Name.Variable.Class;vc;same as Name.Variable but for class variables (also static variables).;variable.other
Name.Variable.Global;vg;same as Name.Variable but for global variables (used in Ruby, for example).;variable.other
Name.Variable.Instance;vi;same as Name.Variable but for instance variables.;variable
Name.Variable.Magic;vm;same as Name.Variable but for special variable names that have an implicit use in a language (e.g. __doc__ in Python).;support.constant 
Literal;l;For any literal (if not further defined).;
Literal.Date;ld;for date literals (e.g. 42d in Boo).;
String;s;For any string literal.;string
String.Affix;sa;"Token type for affixes that further specify the type of the string they’re attached to (e.g. the prefixes r and u8 in r""foo"" and u8""foo"").";
String.Backtick;sb;Token type for strings enclosed in backticks.;string.quoted
String.Char;sc;Token type for single characters (e.g. Java, C).;
String.Delimiter;dl;"Token type for delimiting identifiers in “heredoc”, raw and other similar strings (e.g. the word END in Perl code print <<'END';).";punctuation.definition
String.Doc;sd;Token type for documentation strings (for example Python).;
